,REGIAO,ESPÉCIE,FASE,ADITIVO,AREA,ABA_ESP,ABB_ESP,ABC_ESP,ABD_ESP,ABE_ESP,ABF_ESP,ABG_ESP,ABH_ESP,ABI_ESP,ABL_ESP,ABM_ESP
5904,MATO G. DO SUL,BULL24867515,5d,D,125.32602,62.0261458048205,27.54,25.59,19.7740630580691,5681.264,30.87,33.01000000000001,26.379662,165.898075808042,19.69892757945444,12.46
5905,MATO G. DO SUL,BULL24867515,>5d,I,306.62,46.1799979634784,25.78,26.5,16.71000371936732,10082.111,29.0,31.48,23.0,149.526500365387,16.70065550241325,12.65
5906,PARANÁ,BULL24867515,4d,E,110.21,40.7465329396192,27.8637,25.459538,16.56026374594237,2835.197,31.21709,33.214573,26.274824,168.826032275404,16.50820470259469,12.53415346
5907,MATO G. DO SUL,BULL24867515,2d,I,242.59,57.0799991326597,27.41,24.81,18.94682786634286,10406.997,30.46,32.54,23.1,164.688665774914,18.88320492070008,12.56
5908,ARACATUBA,BULL24867515,5d,C,165.26,80.9721388490147,27.32,25.66,22.5665316716691,10582.67,30.62,32.97,17.4,164.037477894915,22.4863500356221,12.6
5909,MATO GROSSO,BULL24867515,5d,C,152.01,94.8103349760731,28.36,26.3,25.5477708020856,11606.275,32.11,34.09,28.086258,173.43133703269,25.3681830953125,12.42
5910,MATO GROSSO,BULL24867515,5d,I,109.27607,42.6093780309998,28.57,27.08,17.07197393973667,2989.56,32.66,34.92,26.181567,175.626621150413,17.00850910272817,12.44
5911,GOIAS,BULL24867515,3d,E,193.12,73.9481614399293,29.07,25.53,22.5745511577959,11232.051,32.7,34.6,24.59302,180.178663403036,22.4183589912428,12.41
5912,GOIAS,BULL24867515,3d,D,127.824745,85.7239697786514,28.21,24.96,23.9506555011194,8551.06,31.47,33.73999999999999,24.191315,172.465101585288,23.830124299802,12.48
5913,GOIAS,BULL24867515,2d,C,248.54797,116.978284108716,28.1,24.93,28.9015037415033,24844.4,31.32,33.75,25.263629,171.599016044123,28.7544308497515,12.5
5914,PARANÁ,BULL24867515,fr,B,63.43,58.2335407349796,26.2809515,25.186684,18.60258952909518,2389.791,29.21917,31.356277,26.092079,154.024109665347,18.56627745956205,12.59014267
5915,RIB. PRETO,BULL24867515,2d,I,26.61,77.937029431896,28.8241,24.84,23.0933117686516,975.34,32.16,34.77,26.9,178.656357214288,22.9888251306511,
5916,RIB. PRETO,BULL24867515,2d,E,25.24,54.464501510574,28.459,24.13,18.98923230362538,574.23,31.48,33.93,23.3,175.120227743761,18.92681915743014,
5918,PARANÁ,BULL24867515,>5d,E,159.3,45.6489409368635,26.963741,26.558054,17.03514037103523,4968.489,30.481777,32.683018,25.296651,160.392238410878,16.99324166577661,12.57641727
